,Agency Name,American Indian/Alaska Native,Black,Hispanic,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Asian or Asian/Pacific Islander,Total Enrollment
1051,TRI-COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1052,TRI-VALLEY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1053,TRI-VALLEY ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1054,TRINIDAD UNION ELEMENTARY,15.0,0.0,18.0,143.0,0.0,21.0,1.0,198.0
1055,TRINITY ALPS UNIFIED,48.0,4.0,72.0,545.0,1.0,66.0,9.0,745.0
1056,TRINITY CENTER ELEMENTARY,0.0,0.0,1.0,13.0,0.0,0.0,0.0,14.0
1057,TRINITY COUNTY OFFICE OF EDUCATION,7.0,9.0,21.0,54.0,0.0,2.0,1.0,94.0
1058,TRONA JOINT UNIFIED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1059,TULARE CITY,30.0,285.0,7411.0,1533.0,16.0,95.0,195.0,9565.0
1060,TULARE COUNTY OFFICE OF EDUCATION,16.0,36.0,1362.0,837.0,6.0,69.0,54.0,2380.0
1061,TULARE JOINT UNION HIGH,34.0,175.0,4060.0,1071.0,9.0,53.0,84.0,5486.0
1062,TULELAKE BASIN JOINT UNIFIED,1.0,2.0,345.0,92.0,0.0,9.0,0.0,449.0
1063,TUOLUMNE COUNTY SUPERINTENDENT OF SCHOOLS,4.0,2.0,40.0,156.0,1.0,11.0,5.0,219.0
1064,TURLOCK UNIFIED,100.0,296.0,8018.0,4604.0,81.0,327.0,743.0,14169.0
1065,TUSTIN UNIFIED,44.0,457.0,11275.0,6463.0,78.0,863.0,4949.0,24129.0
1066,TWAIN HARTE,3.0,0.0,37.0,203.0,3.0,6.0,2.0,254.0
1067,TWIN HILLS UNION ELEMENTARY,4.0,8.0,207.0,882.0,1.0,137.0,13.0,1252.0
1068,TWIN RIDGES ELEMENTARY,0.0,0.0,13.0,62.0,0.0,20.0,0.0,95.0
1069,TWIN RIVERS UNIFIED,241.0,4454.0,13404.0,8778.0,454.0,1775.0,2873.0,31979.0
1070,TWO ROCK UNION,0.0,1.0,73.0,75.0,3.0,13.0,1.0,166.0
1071,UKIAH UNIFIED,370.0,58.0,3264.0,2599.0,8.0,186.0,94.0,6579.0
1072,UNION ELEMENTARY,14.0,70.0,927.0,2749.0,16.0,554.0,1421.0,5751.0
1073,UNION HILL ELEMENTARY,5.0,1.0,50.0,556.0,3.0,48.0,6.0,669.0
1074,UNION JOINT ELEMENTARY,0.0,0.0,3.0,9.0,0.0,0.0,0.0,12.0
1075,UPLAND UNIFIED,48.0,895.0,6117.0,2868.0,32.0,293.0,775.0,11028.0
1076,UPPER LAKE UNIFIED,84.0,7.0,257.0,438.0,0.0,38.0,10.0,834.0
1077,UPPER LAKE UNION ELEMENTARY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078,UPPER LAKE UNION HIGH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1079,VACAVILLE UNIFIED,85.0,780.0,4707.0,5478.0,90.0,1111.0,701.0,12952.0
1080,VAL VERDE UNIFIED,76.0,2893.0,14876.0,1014.0,81.0,413.0,558.0,19911.0
1081,VALLE LINDO ELEMENTARY,0.0,0.0,1054.0,10.0,0.0,1.0,52.0,1117.0
1082,VALLECITO UNION,8.0,1.0,100.0,440.0,1.0,36.0,6.0,592.0
1083,VALLECITOS ELEMENTARY,4.0,2.0,260.0,67.0,3.0,3.0,2.0,341.0
1084,VALLEJO CITY UNIFIED,60.0,4069.0,5850.0,1090.0,304.0,642.0,2539.0,14554.0
1085,VALLEY CENTER-PAUMA UNIFIED,372.0,21.0,2120.0,1320.0,8.0,168.0,60.0,4069.0
1086,VALLEY HOME JOINT ELEMENTARY,0.0,2.0,74.0,92.0,0.0,5.0,2.0,175.0
1087,VALLEY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1088,VALLEY ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1089,VENTURA COUNTY OFFICE OF EDUCATION,16.0,46.0,1390.0,1390.0,4.0,147.0,86.0,3079.0
1090,VENTURA COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1091,VENTURA COUNTY SCHOOLS BUSINESS SERVICES JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1092,VENTURA UNIFIED,65.0,198.0,8791.0,6675.0,32.0,660.0,560.0,16981.0
1093,VICTOR ELEMENTARY,138.0,2457.0,7586.0,1887.0,72.0,290.0,321.0,12751.0
1094,VICTOR VALLEY UNION HIGH,158.0,2480.0,8020.0,2113.0,84.0,819.0,369.0,14043.0
1095,VINELAND ELEMENTARY,0.0,0.0,711.0,8.0,0.0,5.0,2.0,726.0
1096,VISALIA UNIFIED,231.0,441.0,19617.0,6169.0,41.0,1017.0,1416.0,28932.0
1097,VISTA DEL MAR UNION,4.0,0.0,36.0,24.0,0.0,31.0,3.0,98.0
1098,VISTA UNIFIED,96.0,720.0,15939.0,6060.0,209.0,1110.0,917.0,25051.0
1099,WALNUT CREEK ELEMENTARY,4.0,86.0,492.0,2089.0,7.0,288.0,623.0,3589.0
1100,WALNUT VALLEY UNIFIED,11.0,291.0,3410.0,1140.0,80.0,477.0,9110.0,14519.0
1101,WARNER UNIFIED,131.0,36.0,435.0,819.0,1.0,198.0,113.0,1733.0
1102,WASCO UNION ELEMENTARY,2.0,69.0,3380.0,125.0,3.0,9.0,22.0,3610.0
1103,WASCO UNION HIGH,1.0,29.0,1712.0,102.0,1.0,5.0,5.0,1855.0
1104,WASHINGTON COLONY ELEMENTARY,1.0,4.0,378.0,36.0,0.0,3.0,6.0,428.0
1105,WASHINGTON UNIFIED,69.0,454.0,3554.0,2444.0,106.0,291.0,1165.0,8083.0
1106,WASHINGTON UNIFIED,48.0,235.0,2200.0,227.0,0.0,43.0,245.0,2998.0
1107,WASHINGTON UNION ELEMENTARY,1.0,3.0,190.0,562.0,3.0,51.0,78.0,888.0
1108,WATERFORD UNIFIED,33.0,78.0,1766.0,1606.0,12.0,288.0,193.0,3976.0
1109,WAUGH ELEMENTARY,2.0,15.0,206.0,529.0,1.0,93.0,63.0,909.0
1110,WAUKENA JOINT UNION ELEMENTARY,0.0,1.0,207.0,31.0,0.0,0.0,1.0,240.0
1111,WEAVER UNION,13.0,132.0,1928.0,296.0,11.0,60.0,426.0,2866.0
1112,WEED UNION ELEMENTARY,5.0,18.0,66.0,136.0,0.0,30.0,14.0,269.0
1113,WEST CONTRA COSTA UNIFIED,69.0,5186.0,16935.0,3138.0,205.0,929.0,4674.0,31136.0
1114,WEST COUNTY TRANSPORTATION JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1115,WEST COVINA UNIFIED,22.0,760.0,8712.0,1302.0,41.0,284.0,1681.0,12802.0
1116,WEST PARK ELEMENTARY,6.0,12.0,518.0,58.0,0.0,8.0,36.0,638.0
1117,WEST SIDE ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1118,WEST SIDE ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1119,WEST SIDE UNION ELEMENTARY,0.0,0.0,62.0,110.0,0.0,7.0,0.0,179.0
1120,WEST SONOMA COUNTY UNION HIGH,17.0,25.0,405.0,1374.0,4.0,55.0,64.0,1944.0
1121,WEST VALLEY SCHOOLS TRANSPORTATION AGENCY JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1122,WESTERN PLACER UNIFIED,106.0,232.0,2334.0,5388.0,60.0,394.0,506.0,9020.0
1123,WESTMINSTER,30.0,63.0,4081.0,1202.0,59.0,236.0,3667.0,9338.0
1124,WESTMORLAND UNION ELEMENTARY,0.0,0.0,363.0,17.0,0.0,0.0,0.0,380.0
1125,WESTSIDE ELEMENTARY,9.0,56.0,677.0,354.0,0.0,53.0,30.0,1179.0
1126,WESTSIDE UNION ELEMENTARY,20.0,986.0,4167.0,3206.0,12.0,510.0,401.0,9302.0
1127,WESTWOOD UNIFIED,17.0,5.0,54.0,248.0,0.0,18.0,4.0,346.0
1128,WHEATLAND,17.0,63.0,299.0,781.0,10.0,117.0,47.0,1334.0
1129,WHEATLAND UNION HIGH,9.0,25.0,223.0,364.0,2.0,95.0,21.0,739.0
1130,WHITMORE UNION ELEMENTARY,1.0,3.0,25.0,159.0,1.0,26.0,1.0,216.0
1131,WHITTIER CITY ELEMENTARY,12.0,40.0,5574.0,230.0,7.0,165.0,47.0,6075.0
1132,WHITTIER UNION HIGH,21.0,105.0,10604.0,968.0,16.0,51.0,256.0,12021.0
1133,WILLIAM (R) ROUSE ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1134,WILLIAM S. HART UNION HIGH,83.0,1275.0,10623.0,10383.0,34.0,1512.0,2856.0,26766.0
1135,WILLIAMS UNIFIED,2.0,4.0,1284.0,71.0,1.0,5.0,15.0,1382.0
1136,WILLITS UNIFIED,143.0,13.0,535.0,1056.0,2.0,105.0,30.0,1884.0
1137,WILLOW CREEK ELEMENTARY,3.0,0.0,2.0,25.0,0.0,9.0,0.0,39.0
1138,WILLOW GROVE UNION ELEMENTARY,0.0,0.0,18.0,1.0,0.0,0.0,0.0,19.0
1139,WILLOWS UNIFIED,36.0,8.0,707.0,565.0,5.0,29.0,74.0,1424.0
1140,WILMAR UNION ELEMENTARY,2.0,0.0,40.0,179.0,2.0,8.0,2.0,233.0
1141,WILSONA ELEMENTARY,15.0,145.0,896.0,205.0,0.0,50.0,4.0,1315.0
1142,WINDSOR UNIFIED,56.0,33.0,2648.0,2253.0,17.0,122.0,94.0,5223.0
1143,WINSHIP-ROBBINS,4.0,2.0,245.0,395.0,0.0,74.0,20.0,740.0
1144,WINTERS JOINT UNIFIED,4.0,23.0,1027.0,473.0,2.0,7.0,19.0,1555.0
1145,WINTON,10.0,15.0,1692.0,144.0,0.0,5.0,76.0,1942.0
1146,WISEBURN UNIFIED,9.0,616.0,2227.0,834.0,23.0,377.0,215.0,4301.0
1147,WOODLAKE UNIFIED,6.0,6.0,1999.0,158.0,0.0,6.0,17.0,2192.0
1148,WOODLAND JOINT UNIFIED,54.0,139.0,6843.0,2243.0,36.0,206.0,556.0,10077.0
1149,WOODSIDE ELEMENTARY,0.0,9.0,45.0,283.0,7.0,41.0,15.0,400.0
1150,WOODVILLE UNION ELEMENTARY,0.0,0.0,426.0,9.0,0.0,0.0,1.0,436.0
1151,WRIGHT ELEMENTARY,18.0,47.0,1039.0,314.0,4.0,42.0,129.0,1593.0
1152,YOLO COUNTY OFFICE OF EDUCATION,1.0,9.0,156.0,358.0,2.0,6.0,8.0,540.0
1153,YOLO COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1154,YOSEMITE ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1155,YOSEMITE UNIFIED,64.0,13.0,411.0,1515.0,1.0,151.0,33.0,2188.0
1156,YREKA UNION ELEMENTARY,149.0,7.0,150.0,574.0,0.0,54.0,25.0,959.0
1157,YREKA UNION HIGH,36.0,5.0,98.0,424.0,0.0,63.0,8.0,634.0
1158,YUBA CITY UNIFIED,86.0,244.0,5869.0,3785.0,44.0,718.0,2538.0,13284.0
1159,YUBA COUNTY OFFICE OF EDUCATION,20.0,18.0,165.0,287.0,2.0,59.0,15.0,566.0
1160,YUCAIPA-CALIMESA JOINT UNIFIED,42.0,153.0,4038.0,4720.0,19.0,807.0,190.0,9969.0
1161,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1162,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163,"Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) ""Local Education Agency (School District) Universe Survey"" 2016-17 v.2a  2018-19 v.1a.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1164,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1165,† indicates that the data are not applicable.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1166,– indicates that the data are missing.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1167,‡ indicates that the data do not meet NCES data quality standards.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
